"DWA ID","DWA Title","FSHC_Rating"
"4.A.1.a.1.I01.D01","Review art or design materials.",NA
"4.A.1.a.1.I01.D02","Study details of musical compositions.",NA
"4.A.1.a.1.I01.D03","Review production information to determine costume or makeup requirements.",NA
"4.A.1.a.1.I01.D04","Study scripts to determine project requirements.",NA
"4.A.1.a.1.I01.D05","Review audio or video recordings.",NA
"4.A.1.a.1.I02.D01","Read materials to determine needed actions.",NA
"4.A.1.a.1.I02.D02","Read maps to determine routes.",NA
"4.A.1.a.1.I02.D03","Review customer information.",NA
"4.A.1.a.1.I02.D04","Read work orders or other instructions to determine product specifications or materials requirements.",NA
"4.A.1.a.1.I02.D05","Read technical information needed to perform maintenance or repairs.",NA
"4.A.1.a.1.I02.D06","Study blueprints or other instructions to determine equipment setup requirements.",NA
"4.A.1.a.1.I02.D07","Read documents to gather technical information.",NA
"4.A.1.a.1.I02.D08","Review technical documents to plan work.",NA
"4.A.1.a.1.I02.D09","Review blueprints or specifications to determine work requirements.",NA
"4.A.1.a.1.I02.D10","Review work orders or schedules to determine operations or procedures.",NA
"4.A.1.a.1.I02.D11","Review blueprints or other instructions to determine operational methods or sequences.",NA
"4.A.1.a.1.I02.D12","Evaluate reports or designs to determine work needs.",NA
"4.A.1.a.1.I02.D13","Read work orders or descriptions of problems to determine repairs or modifications needed.",NA
"4.A.1.a.1.I02.D14","Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",NA
"4.A.1.a.1.I02.D15","Review details of technical drawings or specifications.",NA
"4.A.1.a.1.I02.D16","Read work orders to determine material or setup requirements.",NA
"4.A.1.a.1.I03.D01","Collect evidence for legal proceedings.",NA
"4.A.1.a.1.I03.D02","Examine crime scenes to obtain evidence.",NA
"4.A.1.a.1.I03.D03","Investigate crimes committed within organizations.",NA
"4.A.1.a.1.I03.D04","Investigate legal issues.",NA
"4.A.1.a.1.I03.D05","Examine records or other types of data to investigate criminal activities.",NA
"4.A.1.a.1.I03.D06","Conduct hearings to investigate legal issues.",NA
"4.A.1.a.1.I03.D07","Investigate illegal or suspicious activities.",NA
"4.A.1.a.1.I04.D01","Obtain property information.",NA
"4.A.1.a.1.I04.D02","Use databases to locate investigation details or other information.",NA
"4.A.1.a.1.I04.D03","Search information sources to find specific data.",NA
"4.A.1.a.1.I04.D04","Gather financial records.",NA
"4.A.1.a.1.I04.D05","Retrieve information from electronic sources.",NA
"4.A.1.a.1.I04.D06","Gather information in order to provide services to clients.",NA
"4.A.1.a.1.I04.D07","Search files, databases or reference materials to obtain needed information.",NA
"4.A.1.a.1.I04.D08","Collect archival data.",NA
"4.A.1.a.1.I05.D01","Evaluate information related to legal matters in public or personal records.",NA
"4.A.1.a.1.I05.D02","Research relevant legal materials to aid decision making.",NA
"4.A.1.a.1.I06.D01","Gather organizational performance information.",NA
"4.A.1.a.1.I06.D02","Gather information about work conditions or locations.",NA
"4.A.1.a.1.I06.D03","Gather physical survey data.",NA
"4.A.1.a.1.I06.D04","Collect data about project sites.",NA
"4.A.1.a.1.I07.D01","Obtain information about goods or services.",NA
"4.A.1.a.1.I08.D01","Research hydrologic features or processes.",NA
"4.A.1.a.1.I08.D02","Research geological features or processes.",NA
"4.A.1.a.1.I08.D03","Conduct climatological research.",NA
"4.A.1.a.1.I09.D01","Conduct surveys in organizations.",NA
"4.A.1.a.1.I09.D02","Research industrial processes or operations.",NA
"4.A.1.a.1.I09.D03","Conduct scientific research of organizational behavior or processes.",NA
"4.A.1.a.1.I10.D01","Research impacts of environmental conservation initiatives.",NA
"4.A.1.a.1.I10.D02","Research issues related to the environment or sustainable business practices.",NA
"4.A.1.a.1.I10.D03","Investigate the environmental impact of projects.",NA
"4.A.1.a.1.I10.D04","Monitor environmental impacts of production or development activities.",NA
"4.A.1.a.1.I10.D05","Research environmental impact of industrial or development activities.",NA
"4.A.1.a.1.I10.D06","Identify environmental concerns.",NA
"4.A.1.a.1.I10.D07","Evaluate environmental impact of operational or development activities.",NA
"4.A.1.a.1.I11.D01","Gather information for news stories.",NA
"4.A.1.a.1.I12.D01","Gather medical information from patient histories.",NA
"4.A.1.a.1.I12.D02","Collect medical information from patients, family members, or other medical professionals.",NA
"4.A.1.a.1.I12.D03","Collect information from people through observation, interviews, or surveys.",NA
"4.A.1.a.1.I12.D04","Collect information about clients.",NA
"4.A.1.a.1.I13.D01","Research livestock management methods.",NA
"4.A.1.a.1.I13.D02","Research crop management methods.",NA
"4.A.1.a.1.I13.D03","Research sustainable agricultural processes or practices.",NA
"4.A.1.a.1.I14.D01","Conduct market research.",NA
"4.A.1.a.1.I14.D02","Gather customer or product information to determine customer needs.",NA
"4.A.1.a.1.I14.D03","Obtain personal or financial information about customers or applicants.",NA
"4.A.1.a.1.I14.D04","Conduct opinion surveys or needs assessments.",NA
"4.A.1.a.1.I14.D05","Collect data about customer needs.",NA
"4.A.1.a.1.I15.D01","Observe individuals' activities to gather information or compile evidence.",NA
"4.A.1.a.1.I15.D02","Investigate personal characteristics or activities of individuals.",NA
"4.A.1.a.1.I16.D01","Research genetic characteristics or expression.",NA
"4.A.1.a.1.I16.D02","Research diseases or parasites.",NA
"4.A.1.a.1.I16.D03","Conduct research of processes in natural or industrial ecosystems.",NA
"4.A.1.a.1.I16.D04","Research microbiological or chemical processes or structures.",NA
"4.A.1.a.1.I16.D05","Classify organisms based on their characteristics or behavior.",NA
"4.A.1.a.1.I16.D06","Examine characteristics or behavior of living organisms.",NA
"4.A.1.a.1.I17.D01","Obtain documentation to authorize activities.",NA
"4.A.1.a.1.I17.D02","Obtain copyrights or other legal permissions.",NA
"4.A.1.a.1.I17.D03","Obtain written authorization to perform activities.",NA
"4.A.1.a.1.I18.D01","Conduct anthropological or archaeological research.",NA
"4.A.1.a.1.I18.D02","Conduct historical research.",NA
"4.A.1.a.1.I18.D03","Conduct research on social issues.",NA
"4.A.1.a.1.I19.D01","Conduct research to increase knowledge about medical issues.",NA
